Datetime,Subsistema,Demanda Maxima Instantanea (MW),ENA Bruta (% MLT),EAR MAX (MWmes),Carga de Energia (MWmed),ENA Bruta (MWmed),Demanda Maxima horaria (MWh_h),Geracao de Energia - dia - (GWh),Carga de Energia (GWh),EAR (MWmes),ENA armazenavel (MWmed),EAR (GWh),Geracao de Energia - dia - (MWmed) ,ENA armazenavel (% MLT),EAR (%)
2018-06-11,Sudeste/Centro-Oeste,42142.7,80.57070159999999,202691.9375,35256.77741667,26021.16796875,41878.509,820.18165,846.162658,84772.9140625,25131.64648438,61926.61372266,34174.23541624,77.8164978,41.82350159
2018-06-12,Sudeste/Centro-Oeste,43515.383,79.39510345,202691.9375,36847.85004167,25641.47460938,42972.943,849.091233,884.348401,84581.953125,24977.46484375,61787.11675781,35378.80137451,77.3391037,41.72930145
2018-06-13,Sudeste/Centro-Oeste,43291.515999999996,78.72789764,202691.9375,36973.99954167,25425.99414063,42965.2,844.7948050000001,887.375989,84359.4296875,24629.515625,61624.56338672,35199.78354122,76.26170349,41.61949921
2018-06-14,Sudeste/Centro-Oeste,41685.93,78.62909698,202691.9375,36077.407625,25394.09179688,41345.429,854.113918,865.857783,84134.125,24522.07617188,61459.9783125,35588.07991623,75.92900085,41.50839996
2018-06-15,Sudeste/Centro-Oeste,41233.465,78.54170227,202691.9375,35329.588,25365.859375,40988.421,849.337909,847.910112,83966.3828125,24981.45898438,61337.44264453,35389.07954123,77.35140228,41.42559814
2018-06-16,Sudeste/Centro-Oeste,41165.523,78.03440094,202691.9375,32512.02925,25202.046875,40625.136,811.935205,780.288702,83872.90625,24863.81640625,61269.15801563,33830.63354122,76.98719788,41.37950134
2018-06-17,Sudeste/Centro-Oeste,36812.82,77.2181015,202691.9375,28872.432,24938.39257813,36459.334,763.555791,692.938368,83702.703125,23199.72460938,61144.82463281,31814.82462463,71.83460236,41.29550171
2018-06-18,Sudeste/Centro-Oeste,41007.418,76.23690033,202691.9375,34000.89166667,24621.50195313,40633.301,808.525853,816.0214,83577.671875,24120.31835938,61053.48930469,33688.5772079,74.68499756,41.23379898
2018-06-19,Sudeste/Centro-Oeste,41698.051,75.25289917,202691.9375,34856.23520833,24303.71289063,41445.701,835.3650230000001,836.549645,83426.4453125,24140.04492188,60943.01830078,34806.87595791,74.74610138,41.15919876
2018-06-20,Sudeste/Centro-Oeste,42078.355,74.22850037,202691.9375,35120.85970833,23972.86914063,41774.906,834.368108,842.900633,83233.5546875,23353.86328125,60802.11169922,34765.33783291,72.31179809999999,41.06409836
2018-06-21,Sudeste/Centro-Oeste,42539.348,73.40480042,202691.9375,35685.794125,23706.84375,42268.577000000005,817.2256150000001,856.459059,83031.1875,23430.08007813,60654.28246875,34051.06729121,72.54779816,40.96419907
2018-06-22,Sudeste/Centro-Oeste,42094.941,72.33860016,202691.9375,34760.84766667,23362.515625,41853.053,816.696891,834.260344,82789.9921875,22551.34765625,60478.08929297,34029.03712457,69.82689667,40.84519958
2018-06-23,Sudeste/Centro-Oeste,42044.691,71.28340149,202691.9375,33266.845625,23021.73242188,41618.058,822.180272,798.404295,82567.1953125,22403.140625,60315.33617578,34257.51133289,69.36799622,40.73529816
2018-06-24,Sudeste/Centro-Oeste,38767.754,69.9489975,202691.9375,30076.67383333,22590.75195313,38351.306000000004,744.100223,721.840172,82398.546875,21725.65039063,60192.13849219,31004.17595787,67.27030182,40.65209961
2018-06-25,Sudeste/Centro-Oeste,42015.602,68.48709869,202691.9375,35215.90295833,22118.64453125,41730.209,834.94403,845.181671,82104.625,21887.91796875,59977.4285625,34789.33458291,67.77269745,40.50709915
2018-06-26,Sudeste/Centro-Oeste,42985.812999999995,67.32990265,202691.9375,36364.736125,21744.89257813,42760.514,867.946052,872.753667,81766.765625,21207.73828125,59730.62228906,36164.41883286,65.66670227,40.340400700000004
2018-06-27,Sudeste/Centro-Oeste,40773.129,66.36229706,202691.9375,34847.91604167,21432.41796875,40335.924,849.677366,836.349985,81525.6953125,20922.1953125,59554.52042578,35403.22358288,64.78250122,40.2215004
